game,who_won
0,d-yellow
1,d-red
2,v-red
3,h-yellow
4,d-yellow
5,h-yellow
6,h-yellow
7,h-red
8,h-yellow
9,h-yellow
10,h-red
11,d-yellow
12,d-red
13,d-red
14,d-yellow
15,v-yellow
16,d-red
17,h-red
18,h-red
19,h-red
20,h-red
21,h-red
22,h-yellow
23,h-yellow
24,d-yellow
25,d-yellow
26,tie
27,h-red
28,d-red
29,d-yellow
30,d-yellow
31,h-yellow
32,d-yellow
33,h-yellow
34,h-red
35,h-red
36,h-yellow
37,v-yellow
38,h-yellow
39,h-red
40,d-yellow
41,d-red
42,h-red
43,h-red
44,h-yellow
45,d-yellow
46,d-red
47,d-red
48,d-yellow
49,d-red
50,d-yellow
51,tie
52,h-yellow
53,d-yellow
54,tie
55,h-yellow
56,d-yellow
57,d-red
58,d-yellow
59,v-red
60,h-red
61,d-yellow
62,d-yellow
63,h-red
64,d-yellow
65,h-yellow
66,h-red
67,d-red
68,d-yellow
69,h-red
70,h-red
71,d-red
72,h-yellow
73,h-red
74,h-red
75,v-yellow
76,d-yellow
77,d-yellow
78,h-yellow
79,d-yellow
80,d-yellow
81,h-yellow
82,h-yellow
83,d-yellow
84,h-red
85,h-red
86,d-red
87,d-red
88,d-red
89,v-red
90,d-red
91,d-red
92,h-red
93,h-yellow
94,d-yellow
95,v-red
96,d-yellow
97,d-red
98,h-yellow
99,h-red
100,h-red
101,h-red
102,d-red
103,h-red
104,h-yellow
105,d-red
106,v-red
107,h-yellow
108,d-yellow
109,h-yellow
110,d-red
111,h-red
112,d-yellow
113,d-red
114,h-yellow
115,h-yellow
116,v-yellow
117,h-yellow
118,d-red
119,h-red
120,d-yellow
121,d-yellow
122,h-yellow
123,h-red
124,d-red
125,d-yellow
126,h-red
127,d-red
128,d-yellow
129,h-yellow
130,h-red
131,h-yellow
132,h-yellow
133,h-red
134,h-yellow
135,h-red
136,h-red
137,d-yellow
138,v-yellow
139,h-red
140,h-red
141,d-red
142,h-red
143,d-red
144,h-yellow
145,d-red
146,h-red
147,d-yellow
148,d-red
149,h-red
150,tie
151,h-yellow
152,h-yellow
153,h-red
154,h-yellow
155,h-yellow
156,d-red
157,v-red
158,d-yellow
159,h-yellow
160,v-red
161,tie
162,h-yellow
163,h-yellow
164,d-red
165,v-yellow
166,d-red
167,tie
168,h-yellow
169,d-yellow
170,h-red
171,d-yellow
172,h-yellow
173,d-yellow
174,d-red
175,h-yellow
176,h-yellow
177,h-red
178,h-red
179,h-red
180,h-yellow
181,h-yellow
182,d-yellow
183,d-yellow
184,h-yellow
185,v-red
186,d-yellow
187,h-red
188,h-red
189,h-red
190,d-red
191,d-red
192,tie
193,h-red
194,h-red
195,d-red
196,h-yellow
197,h-yellow
198,d-red
199,h-red
200,h-red
201,d-red
202,d-yellow
203,d-red
204,h-yellow
205,d-yellow
206,h-red
207,d-yellow
208,d-yellow
209,h-yellow
210,d-red
211,h-yellow
212,d-red
213,h-red
214,h-yellow
215,h-yellow
216,h-red
217,d-red
218,d-yellow
219,d-yellow
220,v-yellow
221,h-red
222,h-yellow
223,d-red
224,h-yellow
225,h-yellow
226,d-red
227,h-red
228,h-yellow
229,d-yellow
230,d-red
231,h-yellow
232,d-yellow
233,h-yellow
234,h-yellow
235,d-yellow
236,h-red
237,h-red
238,d-red
239,d-red
240,v-red
241,v-yellow
242,d-red
243,h-yellow
244,d-red
245,h-yellow
246,d-red
247,h-red
248,h-red
249,h-yellow
250,d-red
251,h-yellow
252,h-red
253,h-red
254,d-red
255,d-yellow
256,d-yellow
257,h-yellow
258,h-red
259,h-red
260,h-yellow
261,h-red
262,d-red
263,d-red
264,v-red
265,h-yellow
266,h-red
267,d-red
268,h-red
269,d-red
270,d-yellow
271,h-red
272,h-red
273,h-red
274,tie
275,h-yellow
276,h-yellow
277,h-red
278,h-red
279,tie
280,d-yellow
281,d-red
282,d-yellow
283,d-red
284,tie
285,d-red
286,h-red
287,d-red
288,h-yellow
289,h-yellow
290,h-red
291,v-yellow
292,d-red
293,h-red
294,v-yellow
295,h-yellow
296,d-red
297,h-yellow
298,h-yellow
299,tie
300,h-red
301,d-red
302,d-red
303,h-yellow
304,d-yellow
305,d-red
306,h-yellow
307,d-yellow
308,h-yellow
309,d-red
310,h-yellow
311,d-red
312,h-red
313,d-red
314,h-red
315,d-red
316,d-red
317,h-red
318,h-yellow
319,h-yellow
320,h-yellow
321,h-red
322,d-yellow
323,d-yellow
324,d-red
325,d-red
326,d-yellow
327,d-yellow
328,d-red
329,d-red
330,v-red
331,h-red
332,h-yellow
333,d-yellow
334,d-yellow
335,h-yellow
336,h-red
337,d-yellow
338,h-red
339,h-yellow
340,h-red
341,h-yellow
342,d-yellow
343,d-red
344,h-red
345,h-red
346,d-yellow
347,h-red
348,h-yellow
349,v-yellow
350,h-yellow
351,h-red
352,d-red
353,tie
354,tie
355,d-red
356,h-red
357,h-red
358,h-yellow
359,h-yellow
360,d-red
361,h-red
362,h-red
363,h-yellow
364,d-red
365,h-red
366,d-red
367,v-red
368,h-red
369,h-yellow
370,h-yellow
371,d-yellow
372,d-yellow
373,d-red
374,h-yellow
375,h-yellow
376,d-yellow
377,h-yellow
378,h-red
379,h-red
380,d-yellow
381,h-yellow
382,d-red
383,h-yellow
384,h-red
385,d-red
386,h-red
387,h-yellow
388,d-yellow
389,d-red
390,h-yellow
391,d-yellow
392,h-red
393,d-yellow
394,d-yellow
395,h-yellow
396,h-red
397,h-yellow
398,h-yellow
399,d-red
400,h-yellow
401,h-yellow
402,d-yellow
403,d-red
404,h-red
405,h-yellow
406,v-red
407,h-yellow
408,d-yellow
409,h-yellow
410,h-yellow
411,h-red
412,h-yellow
413,d-yellow
414,h-yellow
415,h-yellow
416,d-red
417,d-yellow
418,d-red
419,v-yellow
420,d-yellow
421,d-red
422,d-red
423,h-red
424,d-yellow
425,h-red
426,d-yellow
427,v-yellow
428,h-yellow
429,h-red
430,d-red
431,v-red
432,d-red
433,h-yellow
434,d-red
435,h-yellow
436,d-red
437,d-red
438,d-red
439,d-red
440,v-yellow
441,d-yellow
442,d-yellow
443,d-red
444,d-yellow
445,h-yellow
446,h-yellow
447,d-yellow
448,d-yellow
449,h-yellow
450,d-yellow
451,d-yellow
452,d-red
453,h-yellow
454,d-yellow
455,d-red
456,h-red
457,d-red
458,h-yellow
459,h-red
460,h-yellow
461,h-red
462,d-red
463,h-red
464,h-yellow
465,tie
466,d-red
467,h-yellow
468,h-yellow
469,d-yellow
470,h-yellow
471,h-red
472,d-yellow
473,d-yellow
474,d-red
475,d-yellow
476,h-red
477,h-red
478,d-red
479,h-red
480,d-red
481,h-yellow
482,h-red
483,d-yellow
484,tie
485,h-red
486,d-yellow
487,h-red
488,d-red
489,h-yellow
490,h-yellow
491,d-yellow
492,d-yellow
493,h-red
494,d-red
495,h-yellow
496,d-yellow
497,d-yellow
498,h-red
499,h-yellow
500,h-yellow
501,h-red
502,h-yellow
503,v-red
504,d-yellow
505,h-red
506,d-yellow
507,h-red
508,h-red
509,h-yellow
510,d-yellow
511,d-yellow
512,h-red
513,h-yellow
514,h-yellow
515,h-yellow
516,h-yellow
517,tie
518,v-yellow
519,d-red
520,d-red
521,d-red
522,d-yellow
523,d-red
524,d-yellow
525,d-yellow
526,v-red
527,d-red
528,d-red
529,d-yellow
530,h-yellow
531,d-red
532,d-red
533,v-red
534,h-yellow
535,tie
536,d-yellow
537,h-red
538,d-yellow
539,h-red
540,v-yellow
541,d-red
542,d-yellow
543,d-yellow
544,v-yellow
545,d-red
546,d-yellow
547,d-red
548,d-red
549,h-yellow
550,d-red
551,h-red
552,d-red
553,d-yellow
554,h-yellow
555,h-red
556,tie
557,d-yellow
558,h-yellow
559,h-red
560,h-yellow
561,h-red
562,d-red
563,h-yellow
564,d-yellow
565,h-red
566,h-red
567,d-red
568,v-red
569,h-red
570,h-red
571,d-yellow
572,h-red
573,tie
574,d-red
575,v-red
576,d-red
577,h-yellow
578,h-yellow
579,d-red
580,h-yellow
581,d-yellow
582,h-yellow
583,d-yellow
584,d-yellow
585,h-red
586,h-red
587,d-yellow
588,h-yellow
589,d-yellow
590,tie
591,d-yellow
592,v-yellow
593,d-yellow
594,v-yellow
595,d-red
596,d-yellow
597,d-yellow
598,tie
599,h-red
600,d-yellow
601,d-red
602,h-yellow
603,d-red
604,h-yellow
605,d-red
606,h-red
607,h-yellow
608,h-red
609,h-red
610,h-red
611,d-yellow
612,d-yellow
613,d-yellow
614,v-yellow
615,d-yellow
616,d-red
617,d-yellow
618,d-yellow
619,d-red
620,d-red
621,h-red
622,h-yellow
623,d-yellow
624,d-red
625,v-red
626,d-red
627,d-yellow
628,d-red
629,d-red
630,h-red
631,v-yellow
632,h-red
633,h-yellow
634,v-yellow
635,v-red
636,h-red
637,v-yellow
638,d-yellow
639,h-yellow
640,d-yellow
641,h-red
642,d-red
643,d-red
644,h-red
645,v-yellow
646,d-red
647,d-yellow
648,h-yellow
649,d-yellow
650,h-yellow
651,d-red
652,h-yellow
653,d-red
654,d-yellow
655,d-red
656,d-red
657,h-yellow
658,d-yellow
659,h-red
660,d-red
661,h-yellow
662,h-red
663,h-yellow
664,h-yellow
665,d-red
666,h-yellow
667,v-yellow
668,d-red
669,v-yellow
670,h-red
671,d-yellow
672,h-yellow
673,d-red
674,d-yellow
675,h-yellow
676,d-yellow
677,d-yellow
678,d-yellow
679,h-red
680,h-yellow
681,h-red
682,h-yellow
683,h-yellow
684,d-red
685,d-red
686,d-red
687,h-yellow
688,h-yellow
689,d-yellow
690,h-red
691,h-yellow
692,h-yellow
693,h-yellow
694,h-yellow
695,d-red
696,h-red
697,d-red
698,h-red
699,h-yellow
700,d-yellow
701,d-red
702,d-yellow
703,h-yellow
704,h-yellow
705,h-yellow
706,h-yellow
707,d-red
708,d-yellow
709,d-red
710,h-yellow
711,h-red
712,d-red
713,h-red
714,d-red
715,d-yellow
716,h-red
717,h-red
718,d-red
719,h-yellow
720,d-red
721,h-yellow
722,d-yellow
723,h-yellow
724,d-red
725,h-yellow
726,d-red
727,h-red
728,d-yellow
729,h-red
730,v-red
731,h-red
732,h-yellow
733,d-yellow
734,tie
735,h-red
736,h-yellow
737,v-yellow
738,h-red
739,d-yellow
740,d-yellow
741,tie
742,d-yellow
743,v-red
744,h-yellow
745,h-red
746,d-red
747,h-red
748,d-red
749,d-yellow
750,h-yellow
751,h-red
752,d-yellow
753,d-yellow
754,d-red
755,h-red
756,h-yellow
757,d-yellow
758,h-red
759,h-yellow
760,h-red
761,v-red
762,d-yellow
763,h-yellow
764,h-yellow
765,d-yellow
766,d-red
767,v-red
768,d-yellow
769,h-red
770,h-yellow
771,h-yellow
772,d-yellow
773,h-yellow
774,h-red
775,h-red
776,d-red
777,d-yellow
778,d-red
779,h-red
780,h-yellow
781,d-red
782,h-red
783,h-yellow
784,tie
785,d-yellow
786,h-yellow
787,h-yellow
788,d-red
789,d-red
790,d-yellow
791,h-yellow
